category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
gaming,4,7,1,0,1,0,6,0,1,2,1,3,0,0,2,0,2,0,16,0,1,0,0,1,1,0,1,0,0,1,1,8,4,1,0,1,5,1,1,0,1,0,0,1,0,0,1,4,1,0,1,0,4,0,9,0,0,0,0,1,0,0,5,2,1,0,5,0,1,0
health,3,0,1,0,0,0,0,2,0,0,12,0,1,16,0,0,1,0,17,7,0,0,1,0,0,0,1,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,5
literature,1,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0
movies_and_television,5,4,1,1,10,0,2,4,0,8,3,2,0,3,3,1,4,0,31,0,0,10,8,3,5,0,0,0,0,0,0,17,16,0,0,0,9,0,1,0,2,1,0,4,0,0,24,41,2,0,9,0,4,0,1,0,0,0,0,2,0,0,9,0,15,0,0,0,7,0
music_and_entertainment,1,5,0,0,2,0,12,3,1,4,1,1,0,0,13,0,1,0,63,0,0,8,2,0,2,0,0,0,0,0,1,53,6,1,1,0,20,0,0,0,2,1,0,6,0,0,8,19,3,0,11,0,15,0,3,1,4,0,0,0,0,0,30,1,4,0,2,0,6,5
personal_or_auto-biographical,1,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,7,1,0,0,0,1,1,0,0,0,0,0,0,6,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0
politics,5,4,23,2,0,0,8,2,0,1,45,2,0,150,1,0,14,0,42,2,4,0,3,9,7,0,12,0,0,0,0,38,5,0,0,0,0,1,0,0,0,0,0,1,0,0,20,11,0,0,11,0,11,0,0,0,0,2,1,17,17,2,101,0,2,0,6,11,1,1
religion,0,3,0,0,0,5,6,13,0,0,1,30,0,1,0,0,4,0,59,2,0,0,0,0,0,1,1,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,1,0,0,5,41,1,0,19,0,15,0,0,1,2,0,1,0,2,0,20,0,4,4,0,0,0,2
school_and_education,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,0,0,6,0,2,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0
sports,2,4,0,0,0,0,5,5,1,1,16,0,0,11,6,1,1,0,33,3,1,2,2,6,7,0,4,0,1,0,0,13,15,0,0,1,8,1,0,0,1,0,0,5,1,0,0,8,0,0,4,0,4,1,3,0,2,0,0,1,0,0,12,2,1,0,3,0,0,1
technology,6,2,5,11,0,0,8,20,0,0,10,2,1,7,1,0,11,0,100,3,5,1,1,6,3,3,27,0,0,1,0,11,26,0,0,0,14,0,1,2,1,0,1,1,0,0,8,23,0,0,25,0,17,0,0,0,2,2,0,2,8,0,20,4,0,0,2,0,2,1
the_environment,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,15,0,6,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
the_mainstream_media,0,1,0,3,0,0,2,1,0,0,5,1,0,4,0,0,1,0,17,0,0,0,1,0,0,0,4,0,0,0,0,3,11,0,0,1,1,0,0,0,2,0,0,1,0,0,0,6,0,0,8,0,6,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0
travel,0,1,0,1,0,0,3,0,0,1,3,0,0,0,0,0,0,0,9,1,0,1,0,1,0,0,0,0,0,1,0,9,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0
videoblogging,7,11,0,2,0,0,5,3,0,1,8,0,0,2,12,0,0,0,40,2,0,1,1,1,3,0,1,0,0,1,0,34,13,0,0,0,4,1,0,0,1,0,0,0,0,0,4,6,1,0,10,0,13,0,3,0,5,0,1,2,1,0,34,2,1,0,1,0,5,0
web_development_and_sites,3,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0
